Food,Component,Percentage
Hula.Hoops,Fat,24.7
Hula.Hoops,Carbohydrate,67.4
Hula.Hoops,Sugar,0.6
Hula.Hoops,Fibre,2.4
Hula.Hoops,Protein,3.5
Hula.Hoops,Salt,1.4
Party.Rings,Fat,14.9
Party.Rings,Carbohydrate,38.3
Party.Rings,Sugar,37.8
Party.Rings,Fibre,2.3
Party.Rings,Protein,5.9
Party.Rings,Salt,0.8
Cheerios,Fat,4.9
Cheerios,Carbohydrate,56.4
Cheerios,Sugar,18.5
Cheerios,Fibre,9.4
Cheerios,Protein,9.9
Cheerios,Salt,0.9
Onion.Rings,Fat,24.1
Onion.Rings,Carbohydrate,58.0
Onion.Rings,Sugar,7.2
Onion.Rings,Fibre,1.4
Onion.Rings,Protein,8.3
Onion.Rings,Salt,0.9
Donuts,Fat,32.0
Donuts,Carbohydrate,39.8
Donuts,Sugar,18.9
Donuts,Fibre,1.8
Donuts,Protein,7.0
Donuts,Salt,0.4
